season,price_AUS,price_CHF,price_CZE,price_GER,price_ESP,price_FRA,price_UK,price_ITA,price_POL,price_SVK
spring,-3.3488079246094236,,-3.597534139842483,-4.102160081425925,-2.2016520067326555,-2.806995373153044,,-3.617279828581325,-2.7584476974914045,
summer,-3.4213449896686847,-1.4555020457958636,-3.5976487291526476,-3.6752044756517357,,-2.440406026036073,-2.379524460724713,,,-3.7250595433917164
autumn,-3.4604989500799634,-1.912416677387067,,-3.09213812585306,,-1.6295388159727537,,-3.3105322762756964,-2.759583636370654,-3.4105035468936977
winter,-2.9928833346996653,-3.748284693898347,-3.372774389128317,-2.4520080808896494,-3.533252448963413,-1.1889446234514751,,-3.36205508952387,,
spring,,-5.171674718038372,-2.6813913595329772,-1.6304100879001013,-3.6154128712841445,-0.47011137112986306,0.6580215828820413,-3.1051140040908622,,
summer,-1.9058779698756068,-3.155635588262585,,-0.7351778027126694,,,1.2944688356914562,-2.829444758408581,-1.2263950473177507,-1.1504196619913638
autumn,-0.9863467494858932,,,0.045362834993844414,-3.248235037691147,0.8215785319562704,,-2.654903565768433,-0.09264013317980724,-0.4065896842966811
winter,-0.2005330498880591,0.7413042966754961,0.02117250551191341,,,,1.9957197653556082,-2.173557820855321,0.8683238129110905,0.5869570694498807
spring,0.3107733704402348,,0.7897486852287063,1.406214686695693,,1.3669465888782109,,-1.5802713559990154,2.0389204053081067,1.2168104763527292
summer,0.6389606393216443,1.799385735963065,1.7068269054255718,1.6199529193956592,-2.2957083110416887,,1.9880116319821532,-1.0595571220653635,,
autumn,1.1090464535727302,0.6225877533401813,1.9870499509205704,,,1.675435270673635,1.5575950904746043,,3.4884803926755312,2.5353157920451688
winter,1.294110822163167,,2.2781233445081086,2.492512840346089,-1.6264117649535172,1.5084914231820201,0.9284624733799633,,4.005994875014324,
spring,,1.9526347383397642,2.3950043960861267,2.684655850711296,-1.3382114779446275,,,0.026844441690036636,4.285635903888842,2.830538804000745
summer,1.70934543969353,0.9182611852228304,2.6364442478982437,2.52733102874792,,,,0.4179781473210715,4.413275905866122,3.349894446637839
autumn,1.9451535653621208,0.9314146229912059,2.4501276328119364,2.6796074995336467,-0.5177043530923621,1.6549354557059301,-0.40416231998433805,,,
winter,2.1043024582454994,,2.48249151941856,2.5889984687280574,-0.1547989476222762,,-0.6572520811011753,0.8479839211511072,4.336111049999358,
spring,2.291246710115429,0.9787620861447719,2.6118653461901227,,-0.15412121497877881,1.734736717300978,-0.7315534795205241,1.1128703194930811,,
summer,2.2717643919609625,-0.11229130472530868,2.613127222503013,,,1.6414496067486424,-0.8919245486347069,,3.868660756163348,3.5095911369674786
autumn,2.158387429122771,,,2.0279133744264604,0.11023871448660319,,-0.8884915903476274,1.5656283298514366,3.4735422370868423,3.5529466255900912
winter,2.3126959337745387,-1.2017642221667657,,1.7314366672000934,,1.6710619678503869,-1.187615844488268,,3.5167491621934692,3.3978835763036375
spring,,-3.0896663993311027,2.350411054258077,1.8134383140807366,0.49525258055981625,1.5705610495698954,-1.2882685451897216,,,3.5756041235002973
summer,,-0.8191458281899129,2.4675179508917555,1.6109367232156235,0.6853360765722367,1.5736638340594356,-1.1005347534812833,,3.0370054315719175,
autumn,2.466642439941886,-1.6573223323519284,2.3306782991839103,,0.7047238766212169,1.4092185199909388,-1.2070751691413981,1.762168043402492,,
winter,,,2.3565136015451156,,0.69552810822579,1.6313453365062864,-1.0405527521190292,1.6249285758471934,3.1658566524256546,3.375647750032774
spring,,-1.8156088149077902,2.4027413282140637,1.5434634537413539,0.6759727907230578,1.5331637938926304,-1.175479969788413,,,3.4310020067700244
summer,,-0.8218449870156972,2.600297936304291,1.3768035511229457,0.8599724431278006,1.4150834158737338,-1.1316984182612653,,,3.4201250458491668
autumn,2.561372306353124,-1.1549732097686216,2.5135342587502647,1.804215402205039,0.6986414352459874,1.3655518679229042,,,,3.3972648100857037
winter,2.4355790298890643,,2.4412887867628994,,0.5231823561320035,1.6844088398961428,,1.2893919675545575,3.435198055781897,3.247285918017825
spring,,-2.603017443570534,2.3448820325970536,1.907827784966058,0.39001551116945077,1.663811344178939,,1.3169713070324303,,3.538648816557724
summer,2.4950956379220672,-0.9886264575634092,2.37320449700046,2.2604325603599627,,1.7945327799510127,,,3.931781928883691,3.5318334834502294
autumn,2.1806797235603304,-0.16101347681756328,2.471472405889574,2.523038169813801,0.157501788196606,1.6972835890711306,-0.8744602581069012,,,
winter,2.0317332682974043,-0.03511696300789269,2.610786689701924,2.4458262241224786,,1.6221727599911244,,0.9593785715523825,4.222673892709267,
spring,2.0463835983667265,,,,-0.3457808794780534,1.7297125441865706,-0.5502239629762977,0.9293322884043713,4.370559449033598,3.526437676245311
summer,1.66077725969919,1.7769339152416022,2.3774013474787568,2.8023268213958508,,1.8685189382716632,-0.2772157638351933,,4.482783808729744,
autumn,,1.8260816810838854,2.401624120767522,2.870037700133059,,1.6733168394103188,0.30984572747124695,,4.449231356182705,3.336163200313453
winter,1.471717317540597,0.9940699904745409,2.3185967085414223,2.59498651390026,-1.3886534795796992,,0.6376112796048128,0.08801872793665311,,
spring,1.2604175304319467,0.4904885785493325,2.1541039292009834,,-1.6331214492907833,1.6349750764984723,,-0.04842007425478667,,2.86355003345348
summer,1.001637261472646,0.6549541327667092,,2.1772284398436703,,1.5637145275540327,1.5268033957420393,-0.46463114042472825,,2.536454865872896
autumn,0.9010125111955807,,1.6024386484035669,1.8514726783879052,-2.1827339575530855,1.3998214791774743,1.8833562405776112,,,1.9325854282707091
winter,,1.0647187365716757,1.2012192971166868,,,1.319141633090242,1.8625185883203919,-1.461161479564184,2.351035920150111,1.511306534512863
spring,-0.13214580628427586,0.8412093488609976,0.5104512168081555,0.8994990596881085,,,2.169653706075672,-1.7392995344085977,1.3897633406436118,
summer,-0.5472191977975929,0.5081023228955973,-0.38656970429857296,,-3.2238135321315866,0.9894590434512596,,-2.253297590562623,0.5296257081718234,
autumn,-1.2650631359872784,-0.871513686949128,,,,0.5976560721882,1.9014714282907852,-2.6558732426994087,-0.21941720962364153,-0.43074736503155164
winter,-1.6415259256939094,-2.5797129206578058,,-0.5678856538294866,,0.18223805229090462,1.5117947085055103,,-1.1059451631275117,-1.2176567220530763
spring,-2.279363936863561,-4.752585175162742,-2.523411551653182,,-3.3966352151510724,-0.3579956482341155,0.6654651574517263,-2.9931319465394375,,
summer,-2.675894929953047,-3.7203545070498425,,,-3.455047142625797,-0.7069770103409123,0.036249612075973436,-3.2921929748812357,,-2.6993892208394654
autumn,-2.871990026372159,,-3.5050465710446623,-2.8560711499844236,,,-0.7672833993524402,-3.168199765423884,-2.566411374378093,-2.9254030692258395
